Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,Sq Ft,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,506A,276,MULTI-PURPOSE CLASSROOM,false,Inside,true
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,OUTDOOR YARD 1,8000,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,GYM,3710,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,OUTDOOR YARD 1,16000,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,OUTDOOR YARD 2,3800,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,520,1232,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,OUTDOOR YARD 1,18000,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,OUTDOOR YARD 2,10500,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,POOL,4674,SWIMMING POOL,false,Inside,false
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,POOL,4674,SWIMMING POOL,false,Inside,false
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,108,3504,GYMNASIUM,true,Inside,false
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,OUTDOOR YARD 1,8500,OUTDOOR YARD,false,Outside,false
