borough,ats code,location_name,grade_level,bldg_id,bldg_name,address,room_nuber,sqft,room_function,shared_with_other_schools,Insidevoutside,space_used,_location,_latitude,_longitude
Manhattan,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,OUTDOOR YARD 1,33842,OUTDOOR YARD,FALSE,Outside,FALSE,"122 HENRY STREET, Manhattan, New York, NY, USA",40.712938,-73.991958
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,402,945,DANCE ROOM,FALSE,Inside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,402,945,DANCE ROOM,FALSE,Inside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,OUTDOOR YARD 1,8000,OUTDOOR YARD,FALSE,Outside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,GYM,3710,GYMNASIUM,FALSE,Inside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,OUTDOOR YARD 1,16000,OUTDOOR YARD,FALSE,Outside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,OUTDOOR YARD 2,3800,OUTDOOR YARD,FALSE,Outside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,520,1232,GYMNASIUM,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,OUTDOOR YARD 1,18000,OUTDOOR YARD,FALSE,Outside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,OUTDOOR YARD 2,10500,OUTDOOR YARD,FALSE,Outside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,108,3504,GYMNASIUM,TRUE,Inside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,OUTDOOR YARD 1,8500,OUTDOOR YARD,FALSE,Outside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,OUTDOOR YARD 2,3195,OUTDOOR YARD,FALSE,Outside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,1ST FL,4503,GYMNASIUM,TRUE,Inside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,3 FL,2652,GYMNASIUM,TRUE,Inside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,OUTDOOR YARD 1,7424,OUTDOOR YARD,TRUE,Outside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,OUTDOOR YARD 2,4816,OUTDOOR YARD,TRUE,Outside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,232,675,DANCE ROOM,FALSE,Inside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,234,675,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,GYM,3850,GYMNASIUM,FALSE,Inside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,OUTDOOR YARD 1,18560,OUTDOOR YARD,FALSE,Outside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,OUTDOOR YARD 2,2700,OUTDOOR YARD,FALSE,Outside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,505,700,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,510,1742,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,511,2496,GYMNASIUM,FALSE,Inside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,511,2496,GYMNASIUM,FALSE,Inside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,OUTDOOR YARD 1,7800,OUTDOOR YARD,FALSE,Outside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,320,4895,GYMNASIUM,FALSE,Inside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
