Borough,Geographical  District,Admin District,ATS Code,LocationName,Grade Level,BldgID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE,_location,_latitude,_longitude,_status,_bin,_bbl
Manhattan,2,2,02M527,P.S. 527 - East Side School for Social Action,Elementary,M816,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION - MANHATTAN,323 EAST 91 STREET,TAX LEVY LEASE,501,688,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"323 EAST 91 STREET, Manhattan, New York, NY, USA",40.780656,-73.94786,Checked,1050217,1015540015
Manhattan,3,3,03M009,P.S. 009 Sarah Anderson,Elementary,M009,P.S. 9 - MANHATTAN,100 WEST 84 STREET,DOE Owned,GYM,3886,GYMNASIUM,TRUE,Inside,FALSE,"100 WEST 84 STREET, Manhattan, New York, NY, USA",40.785102,-73.973863,Unchecked,1032119,1012140029
Manhattan,3,3,03M075,P.S. 075 Emily Dickinson,Elementary,M075,P.S. 75 - MANHATTAN,735 WEST END AVENUE,DOE Owned,G1A,735,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"735 WEST END AVENUE, Manhattan, New York, NY, USA",40.795257,-73.973981,Unchecked,1034190,1012530065
Manhattan,3,3,03M075,P.S. 075 Emily Dickinson,Elementary,M075,P.S. 75 - MANHATTAN,735 WEST END AVENUE,DOE Owned,OUTDOOR YARD 3,8500,OUTDOOR YARD,TRUE,Outside,FALSE,"735 WEST END AVENUE, Manhattan, New York, NY, USA",40.795257,-73.973981,Unchecked,1034190,1012530065
Manhattan,3,3,03M084,P.S. 084 Lillian Weber,Elementary,M084,P.S. 84 - MANHATTAN,32 WEST 92 STREET,DOE Owned,GYM,3886,GYMNASIUM,FALSE,Inside,FALSE,"32 WEST 92 STREET, Manhattan, New York, NY, USA",40.78938,-73.968099,Checked,1081042,1012050006
Manhattan,3,3,03M087,P.S. 087 William Sherman,Elementary,M087,P.S. 87 - MANHATTAN,160 WEST 78 STREET,DOE Owned,216,3808,GYMNASIUM,FALSE,Inside,FALSE,"160 WEST 78 STREET, Manhattan, New York, NY, USA",40.781784,-73.977734,Unchecked,1030196,1011490007
Manhattan,3,3,03M145,"P.S. 145, The Bloomingdale School",Elementary,M145,P.S. 145 - MANHATTAN,150 WEST 105 STREET,DOE Owned,105,578,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"150 WEST 105 STREET, Manhattan, New York, NY, USA",40.79911,-73.965221,Unchecked,1083561,1018590001
Manhattan,3,3,03M163,P.S. 163 Alfred E. Smith,Elementary,M163,P.S. 163 - MANHATTAN,163 WEST 97 STREET,DOE Owned,GYM,3752,GYMNASIUM,FALSE,Inside,FALSE,"163 WEST 97 STREET, Manhattan, New York, NY, USA",40.794703,-73.968537,Checked,1055908,1018520099
Manhattan,3,3,03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,Elementary,M166,P.S. 166 - MANHATTAN,132 WEST 89 STREET,DOE Owned,504,552,DANCE ROOM,FALSE,Inside,FALSE,"132 WEST 89 STREET, Manhattan, New York, NY, USA",40.78895,-73.972515,Unchecked,1032308,1012190047
Manhattan,3,3,03M199,P.S. 199 Jessie Isador Straus,Elementary,M199,P.S. 199 - MANHATTAN,270 WEST 70 STREET,DOE Owned,GYM,4200,GYMNASIUM,FALSE,Inside,FALSE,"270 WEST 70 STREET, Manhattan, New York, NY, USA",40.777764,-73.984735,Unchecked,1030351,1011580040
