Borough,Geographical  District,Admin District,ats_code,LocationName,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,OUTDOOR YARD 1,6675,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,OUTDOOR YARD 2,4757,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,GYM,3630,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,OUTDOOR YARD 1,2940,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,127,688,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,315,4845,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,OUTDOOR YARD 1,10000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,GYM,3816,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,OUTDOOR YARD 1,32000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,OUTDOOR YARD 2,7500,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,208,550,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,OUTDOOR YARD 1,1200,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,OUTDOOR YARD 2,7150,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,104,594,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,207,2842,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,207,2842,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,212,630,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,OUTDOOR YARD 1,11800,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,OUTDOOR YARD 2,7500,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,308,560,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,308,560,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,GYM,2950,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,GYM,2950,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,OUTDOOR YARD 1,10000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,OUTDOOR YARD 2,3650,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,OUTDOOR YARD 3,2620,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - MANHATTAN,334 GREENWICH STREET,TAX LEVY LEASE,MULTI,884,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M151,Yorkville Community School,Elementary,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,DOE Owned,301/302,1218,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M151,Yorkville Community School,Elementary,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,DOE Owned,306,567,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M151,Yorkville Community School,Elementary,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,DOE Owned,OUTDOOR YARD 1,2800,OUTDOOR YARD,FALSE,Outside,FALSE
