School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Borough Name,Postcode,Latitude,Longitude
2015-16,M093,06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,M210,501-503 WEST 152 STREET,M,6,446,,1,P.S./I.S. 210 - Twenty-first Century Academy for C,MANHATTAN,10031,40.829832,-73.944789
2015-16,M096,04M096,P.S. 096 Joseph Lanzetta,M096,216 EAST 120 STREET,M,4,458,,1,P.S. 096 Joseph Lanzetta,MANHATTAN,10035,40.800256,-73.937558
2015-16,M097,01M696,Bard High School Early College,M696,525 EAST HOUSTON STREET,M,1,535,,1,Bard High School Early College,MANHATTAN,10002,40.719029,-73.975891
2015-16,M098,06M098,P.S. 098 Shorac Kappock,M098,512 WEST 212 STREET,M,6,605,,1,P.S. 098 Shorac Kappock I P.S. 098 Annex,MANHATTAN,10034,40.867826,-73.917059
2015-16,M099,04M224,M.S. 224 Manhattan East School for Arts & Academic,M224,410 EAST 100 STREET,M,4,166,410 EAST 100 STREET CONSOLIDATED LOCATION,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.785671,-73.942548
2015-16,M099,84M385      ,Success Academy Charter School - Harlem 3,M385,410 EAST 100 STREET,M,4,777,410 EAST 100 STREET CONSOLIDATED LOCATION,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.785671,-73.942548
2015-16,M099,84M433      ,Renaissance Charter High School for Innovation,M433,410 EAST 100 STREET,M,4,456,410 EAST 100 STREET CONSOLIDATED LOCATION,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.785671,-73.942548
2015-16,M121,84M382,DREAM CHARTER SCHOOL(MN),M382,232 EAST 103 STREET,M,4,492,232 EAST 103 STREET CONSOLIDATED LOCATION,2,P.S. 38 Roberto Clemente|DREAM Charter School|232 EAST 103 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.788952,-73.944538
2015-16,M099,,410 EAST 100 STREET CONSOLIDATED LOCATION,,410 EAST 100 STREET,M,4,1399,410 EAST 100 STREET CONSOLIDATED LOCATION,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.785671,-73.942548
2015-16,M101,04M375,Mosaic Preparatory Academy,M375,141 EAST 111 STREET,M,4,304,,1,Mosaic Preparatory Academy,MANHATTAN,10029,40.79564,-73.94441
2015-16,M102,04M102,P.S. 102 Jacques Cartier,M102,315 EAST 113 STREET,M,4,282,,1,P.S. 102 Jacques Cartier,MANHATTAN,10029,40.794872,-73.938719
2015-16,M104,02M104,J.H.S. 104 Simon Baruch,M104,330 EAST  21 STREET,M,2,1113,,1,J.H.S. 104 Simon Baruch,MANHATTAN,10010,40.736094,-73.980663
2015-16,M107,04M680,"Heritage School, The",M680,1680 LEXINGTON AVENUE,M,4,335,,1,"Heritage School, The",MANHATTAN,10029,40.791881,-73.946558
2015-16,M108,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,M108,1615 MADISON AVENUE,M,4,594,,1,P.S. 108 Assemblyman Angelo Del Toro Educational C,MANHATTAN,10029,40.795146,-73.948368
